School unit name,elementary school cases,middle schools cases,high schools cases,Gender,Reporting date
Farragut,95,63,28,F,12/14/2020
Stoughton,73,52,100,F,3/20/2021
Vernon,12,47,83,F,10/7/2020
Fair Oaks,19,92,39,F,2/28/2021
Memorial,72,38,85,M,11/25/2020
Mosinee,2,11,8,F,1/9/2021
Fair Oaks,95,72,43,F,1/15/2021
Rutledge,7,10,94,F,9/6/2020
Union,81,31,80,M,1/2/2021
Kensington,98,90,25,F,8/21/2020
Schmedeman,76,12,82,M,3/22/2021
Commercial,67,16,86,F,10/5/2020
Pond,80,32,87,F,4/30/2021
Morningstar,54,61,20,M,5/22/2021
Kennedy,53,18,31,F,8/1/2021
Judy,40,12,90,M,3/24/2021
Jana,4,37,74,F,8/8/2021
Starling,47,87,44,F,1/28/2021
Judy,76,38,70,M,1/9/2021
Valley Edge,38,90,18,F,10/7/2020
Sycamore,71,57,40,F,2/17/2021
Kim,43,93,51,F,8/6/2021
Pankratz,94,53,72,F,12/6/2020
Cardinal,51,39,66,F,12/7/2020
Schurz,67,95,23,M,3/16/2021
Hooker,53,84,64,F,8/12/2021
Jackson,45,46,7,M,1/18/2021
Buena Vista,27,75,32,M,9/15/2020
Southridge,43,45,78,F,2/20/2021
Burrows,53,63,100,M,3/3/2021
Dennis,79,56,34,F,1/24/2021
Evergreen,78,25,26,M,4/8/2021
Barnett,22,44,26,F,6/12/2021
Anniversary,82,37,74,F,10/8/2020
Acker,43,22,29,F,9/15/2020
Rieder,61,49,37,F,11/30/2020
Stoughton,58,4,29,M,3/21/2021
Bellgrove,82,60,28,M,3/17/2021
Mallory,55,29,97,F,8/25/2020
Cody,84,79,54,M,1/11/2021
Blackbird,12,65,11,F,1/30/2021
Manufacturers,74,15,20,M,8/17/2020
Crescent Oaks,6,96,4,M,2/12/2021
Heath,51,94,85,M,1/17/2021
Redwing,19,8,37,F,2/28/2021
Prairie Rose,71,16,50,M,3/2/2021
Fieldstone,39,88,41,F,2/26/2021
Mesta,8,48,25,F,9/17/2020
Lerdahl,32,84,7,F,9/9/2020
Oak,87,71,48,F,9/19/2020
Waubesa,74,40,13,F,11/28/2020
Bellgrove,59,5,15,M,5/12/2021
Parkside,46,78,17,M,7/12/2021
Moose,8,68,90,M,5/24/2021
Dunning,91,17,8,F,3/30/2021
Fieldstone,18,40,62,F,4/19/2021
Susan,88,2,69,M,11/5/2020
Darwin,96,19,28,F,3/27/2021
Merrick,7,71,31,F,4/20/2021
Declaration,26,47,21,F,10/12/2020
Emmet,56,86,96,F,3/8/2021
Prairie Rose,67,13,54,M,10/23/2020
Moulton,92,78,55,M,2/19/2021
Menomonie,63,15,47,F,9/7/2020
Cody,42,44,91,F,5/20/2021
Bellgrove,90,2,29,F,11/25/2020
Corscot,14,92,61,M,9/30/2020
Superior,46,77,15,F,8/15/2021
Delladonna,82,70,27,F,7/21/2021
Helena,39,54,33,M,11/26/2020
Corscot,94,10,95,F,6/20/2021
Hintze,84,8,89,M,5/10/2021
Judy,79,49,4,M,10/26/2020
Old Shore,53,18,26,F,3/19/2021
Randy,98,48,51,F,3/9/2021
Dottie,97,15,14,F,2/25/2021
Buena Vista,81,96,31,F,10/10/2020
Huxley,92,41,24,F,2/22/2021
Melvin,99,34,76,M,10/9/2020
Ramsey,2,52,21,M,1/25/2021
Morningstar,32,44,38,M,11/10/2020
Saint Paul,59,46,39,F,1/1/2021
Gateway,40,51,96,F,9/19/2020
Mockingbird,10,18,61,F,5/6/2021
Aberg,45,24,49,M,8/16/2020
Northridge,89,94,25,M,9/29/2020
Kipling,50,98,67,F,7/30/2021
Lakewood Gardens,59,3,51,M,12/21/2020
Twin Pines,77,93,21,M,9/27/2020
Glacier Hill,97,13,89,F,12/18/2020
Muir,74,50,1,M,9/26/2020
Rockefeller,10,28,83,F,6/22/2021
Raven,57,5,79,M,7/7/2021
Westerfield,4,8,10,M,11/30/2020
Luster,46,86,68,F,9/25/2020
Main,53,41,94,M,4/30/2021
Clarendon,9,34,48,M,4/1/2021
Calypso,77,54,58,M,11/20/2020
Hanover,82,75,16,F,12/7/2020
Morning,91,86,48,M,2/8/2021
Forest,51,67,3,F,1/9/2021
Fieldstone,35,80,52,F,5/19/2021
Oakridge,13,83,26,F,1/25/2021
High Crossing,67,11,18,M,7/18/2021
Fordem,89,26,64,F,10/9/2020
Hansons,66,17,65,F,10/15/2020
Westend,54,89,81,M,9/4/2020
American Ash,89,30,56,F,7/15/2021
Division,17,32,67,F,2/27/2021
Barnett,6,42,32,F,6/19/2021
Harbort,41,96,52,F,3/12/2021
Vidon,13,40,48,M,5/26/2021
Village Green,59,50,40,F,3/1/2021
Farwell,41,88,33,M,9/27/2020
Charing Cross,63,81,90,M,11/30/2020
Maple Wood,28,65,67,F,5/2/2021
Talisman,74,48,69,M,10/5/2020
Corscot,58,70,39,M,1/14/2021
Donald,38,98,64,F,9/3/2020
Clarendon,82,23,35,M,8/30/2020
Eastwood,72,64,94,M,12/30/2020
Hayes,21,59,8,M,2/12/2021
Sage,16,37,88,M,9/27/2020
Schmedeman,37,54,64,M,11/30/2020
Autumn Leaf,34,51,23,M,8/8/2021
Garrison,16,32,51,M,9/5/2020
Grim,22,94,34,M,8/6/2021
Drewry,50,88,98,F,1/5/2021
Manley,99,67,100,F,2/17/2021
Leroy,63,24,9,F,10/4/2020
Bartillon,48,62,91,F,8/16/2020
Oakridge,26,83,51,F,1/13/2021
Express,26,65,3,F,11/6/2020
Mallard,41,54,94,F,12/1/2020
Luster,44,80,13,F,3/12/2021
Heffernan,40,81,27,M,9/3/2020
Hazelcrest,95,1,32,F,1/1/2021
Petterle,28,13,93,F,10/9/2020
Loeprich,4,69,71,M,3/5/2021
Stang,33,90,54,M,5/9/2021
Rieder,91,88,13,M,5/3/2021
Oneill,74,70,67,F,12/26/2020
Cardinal,36,86,50,M,4/8/2021
Sugar,93,12,54,F,10/14/2020
Hazelcrest,34,96,85,M,4/27/2021
Sheridan,54,80,67,F,8/3/2021
Scofield,13,54,32,M,9/15/2020
Mallory,71,36,90,F,4/26/2021
Forest Dale,24,60,76,M,6/15/2021
Dakota,19,35,80,F,1/25/2021
Jenna,9,86,52,F,12/10/2020
Blue Bill Park,18,20,59,M,9/7/2020
Northland,1,32,84,M,5/5/2021
Kings,45,99,79,F,6/12/2021
1st,57,20,12,M,11/12/2020
Talisman,8,14,36,M,3/4/2021
Kipling,58,43,51,F,7/25/2021
New Castle,65,96,10,F,6/30/2021
Sachs,53,42,92,F,2/18/2021
Magdeline,1,48,27,M,5/10/2021
Southridge,62,70,82,M,10/31/2020
Killdeer,74,49,7,M,12/29/2020
Cordelia,90,60,78,M,12/21/2020
Hoepker,9,22,91,M,12/17/2020
Scofield,81,59,90,M,8/16/2020
Nevada,27,88,60,F,1/17/2021
Corscot,54,51,49,F,6/30/2021
David,73,56,5,M,4/15/2021
Knutson,65,75,95,F,3/8/2021
Hansons,37,56,55,F,7/11/2021
Forest Dale,14,2,10,M,2/16/2021
Grayhawk,77,25,4,M,11/8/2020
Dennis,2,23,18,M,9/29/2020
Fulton,41,19,22,F,12/22/2020
Debs,100,9,76,F,9/15/2020
Center,11,87,69,M,12/24/2020
Oneill,89,99,54,M,6/30/2021
Dovetail,75,58,28,F,4/6/2021
Pawling,10,2,92,F,7/21/2021
Michigan,61,99,18,M,3/6/2021
Badeau,6,49,48,F,10/8/2020
Golf View,18,13,62,M,8/5/2021
Arapahoe,83,73,89,M,5/4/2021
Sage,36,32,96,M,11/17/2020
3rd,1,38,96,F,10/12/2020
Atwood,27,85,67,M,7/17/2021
Birchwood,87,62,50,M,7/29/2021
Hoepker,34,7,38,F,4/19/2021
Vermont,28,39,34,M,9/24/2020
Hauk,6,53,57,F,11/7/2020
Fieldstone,4,69,26,F,3/30/2021
Jenifer,72,25,44,F,11/9/2020
Tony,66,100,57,M,2/19/2021
Continental,4,92,5,F,7/9/2021
Upham,33,13,84,F,7/3/2021
Rutledge,57,42,59,M,9/18/2020
Lake View,98,60,100,F,9/10/2020
Eagle Crest,82,28,45,M,6/19/2021
Orin,33,25,92,F,11/2/2020
Brown,34,68,42,F,4/5/2021
Golf View,84,75,24,M,7/4/2021
Maple Wood,54,81,41,F,3/11/2021
Mesta,39,51,77,M,3/29/2021
Bartillon,86,54,15,M,2/14/2021
Canary,7,19,42,M,3/4/2021
Pennsylvania,46,31,14,M,8/27/2020
Shopko,65,9,35,M,9/28/2020
Roth,36,24,91,M,10/4/2020
Morrow,29,13,74,F,11/7/2020
Sycamore,83,34,70,F,8/3/2021
Anderson,98,3,40,F,3/28/2021
Hallows,35,76,96,M,3/17/2021
Golden Leaf,82,33,59,M,10/3/2020
Atwood,25,80,26,M,8/28/2020
3rd,53,57,19,F,2/17/2021
Utah,14,9,43,F,5/25/2021
Fairview,24,40,14,M,7/11/2021
Bluejay,1,21,90,M,6/25/2021
Killdeer,71,84,23,F,5/12/2021
Claremont,72,18,8,M,10/27/2020
Forest,57,9,26,F,8/30/2020
1st,29,80,65,F,2/12/2021
Fulton,4,76,17,M,2/3/2021
Dayton,85,14,73,M,7/11/2021
Stang,40,42,92,M,7/19/2021
Pawling,34,74,94,M,10/22/2020
Ohio,95,5,23,M,6/21/2021
3rd,62,80,88,M,5/28/2021
Morrow,7,97,25,F,12/29/2020
Hauk,50,76,69,F,2/5/2021
Meadow Vale,59,55,55,F,11/30/2020
Mosinee,50,63,52,F,7/15/2021
Northland,90,29,19,F,10/15/2020
Fremont,81,6,42,F,12/3/2020
Debs,17,46,100,F,12/24/2020
Summerview,70,50,12,M,3/14/2021
Dawn,67,39,94,M,7/31/2021
Sauthoff,30,94,43,M,11/14/2020
Sauthoff,20,97,62,F,1/18/2021
Oak Valley,5,74,33,F,2/5/2021
Loomis,81,83,18,F,8/29/2020
Novick,61,38,76,M,10/28/2020
Comanche,45,1,91,F,7/11/2021
Carpenter,39,69,26,M,3/28/2021
Golf Course,61,81,72,M,7/5/2021
Esker,84,38,61,F,2/19/2021
Stone Corner,40,9,73,F,7/16/2021
7th,54,27,65,F,3/16/2021
Mendota,53,11,3,M,5/25/2021
Anthes,22,79,100,F,7/9/2021
American,61,34,73,F,1/28/2021
Cody,18,26,74,M,9/2/2020
Lakeland,61,10,100,F,3/5/2021
Barby,99,16,19,M,5/21/2021
Toban,40,78,31,M,3/31/2021
Mosinee,3,29,80,M,7/1/2021
Holy Cross,17,72,68,F,4/6/2021
Coleman,30,5,64,M,1/28/2021
Ilene,61,49,54,M,10/22/2020
Ludington,87,45,43,F,4/10/2021
Saint Paul,4,25,35,M,3/30/2021
Forest Dale,6,57,9,F,7/21/2021
Pepper Wood,71,13,26,M,12/3/2020
Buena Vista,11,20,80,F,2/16/2021
Scofield,56,43,1,M,2/7/2021
Village,99,74,28,F,6/16/2021
Hagan,78,59,4,F,6/23/2021
Westport,27,100,93,M,9/18/2020
Dexter,97,71,36,M,8/7/2021
Randy,83,28,64,M,6/11/2021
Summit,73,24,37,F,4/6/2021
Veith,19,74,10,F,9/2/2020
Bellgrove,26,19,32,F,5/30/2021
Logan,37,29,16,M,8/6/2021
Bartillon,85,30,25,F,8/14/2021
Shasta,93,25,26,F,6/26/2021
New Castle,97,70,11,F,5/19/2021
Orin,24,40,69,F,8/19/2020
Mendota,1,68,39,M,7/12/2021
Golf Course,56,12,94,F,12/14/2020
Clarendon,89,53,77,F,11/7/2020
Kennedy,54,83,54,M,4/19/2021
Twin Pines,41,71,56,M,5/9/2021
Bunting,99,21,57,F,10/25/2020
North,43,57,72,F,8/18/2020
Bunting,72,99,16,M,6/18/2021
Forest Run,82,91,92,M,11/8/2020
Crescent Oaks,74,65,1,F,1/18/2021
Declaration,100,48,48,M,5/7/2021
Meadow Ridge,83,35,2,F,6/26/2021
Aberg,1,64,88,M,3/10/2021
Hanson,63,37,60,M,9/20/2020
Rusk,75,63,51,F,6/5/2021
Milwaukee,24,96,19,F,10/7/2020
Gulseth,85,32,93,M,1/5/2021
Brentwood,12,55,64,F,2/17/2021
Anderson,55,68,97,F,12/14/2020
Shoshone,88,84,82,M,1/13/2021
Summerview,81,25,22,F,7/6/2021
Lighthouse Bay,33,4,52,F,1/29/2021
Linden,88,13,33,F,2/18/2021
Crest Line,72,53,25,M,2/10/2021
Transport,66,42,57,F,8/29/2020
Park Meadow,71,66,39,M,6/6/2021
Esch,65,8,39,M,12/13/2020
Stone Corner,79,80,87,F,3/2/2021
Atwood,83,73,82,M,4/10/2021
Vermont,23,78,56,F,11/15/2020
Miller,3,65,27,M,10/13/2020
Dawn,8,61,72,F,8/22/2020
Everett,12,59,11,F,3/7/2021
