School unit name,elementary school cases,middle schools cases,high schools cases,Gender,Reporting date
Gateway,14,42,13,F,2/15/2021
Village,47,81,32,F,1/27/2021
Sunfield,100,45,68,F,9/8/2020
Coolidge,64,73,78,F,10/25/2020
Green,7,55,70,M,2/17/2021
East,17,18,31,M,5/30/2021
Hollow Ridge,7,65,55,F,1/28/2021
Arapahoe,81,96,7,F,3/29/2021
Bartelt,99,89,31,M,4/28/2020
Sachtjen,70,39,11,F,6/6/2020
Utah,3,77,63,M,3/27/2021
Tony,6,48,94,F,1/21/2021
Fisk,46,98,55,M,11/28/2020
Nova,7,58,16,F,7/17/2020
Tomscot,42,7,30,F,3/13/2021
Columbus,16,30,60,M,5/19/2021
Hansons,66,7,65,M,10/8/2020
Mendota,13,28,87,M,2/3/2021
Prairie Rose,7,56,64,F,9/10/2020
Vermont,78,16,79,F,6/15/2020
Eggendart,93,62,87,F,3/13/2021
3rd,68,17,29,M,6/20/2021
Lillian,89,26,56,M,11/11/2020
Stuart,29,20,77,M,5/2/2021
Debra,65,33,54,F,5/24/2021
Sutherland,70,81,58,F,3/23/2021
Northview,26,78,15,F,4/2/2021
Del Sol,73,79,64,M,8/5/2020
Sunnyside,53,1,81,M,9/22/2020
Haas,95,92,4,M,7/8/2020
Annamark,13,73,35,M,6/3/2021
Grayhawk,13,50,75,M,1/6/2021
Vernon,72,16,34,F,8/3/2020
Bluejay,48,16,29,M,6/16/2021
Haas,66,89,30,F,11/9/2020
Vernon,3,61,85,M,3/16/2021
Spohn,42,98,98,F,7/13/2020
Hansons,24,24,37,M,6/25/2020
Montana,53,89,98,M,5/3/2021
Hermina,80,3,9,M,8/25/2020
Shelley,40,33,71,M,5/6/2020
Cascade,63,12,77,M,5/14/2021
Hanover,25,10,10,F,10/15/2020
Ohio,43,93,19,M,10/14/2020
Logan,43,35,85,M,5/19/2021
Forster,81,100,26,M,7/8/2021
Loeprich,6,58,85,M,5/18/2020
Bartillon,79,13,96,M,9/11/2020
Pawling,100,90,100,F,4/27/2020
Waubesa,40,57,94,M,2/10/2021
Fisk,58,70,84,F,4/27/2021
Stoughton,9,28,68,F,1/25/2021
Continental,45,58,38,M,4/3/2020
Sunnyside,85,80,10,M,6/14/2020
Lindbergh,44,2,24,M,1/12/2021
Susan,2,71,85,F,7/20/2021
Hooker,29,53,2,F,6/30/2020
Forest,27,88,75,M,7/25/2020
Lyons,39,91,46,F,5/13/2020
Harper,81,7,74,F,4/20/2021
Nova,83,42,63,M,5/4/2020
Crescent Oaks,17,93,91,F,7/5/2020
Mariners Cove,43,90,74,F,4/18/2020
Sachs,4,69,7,M,2/28/2021
Bunting,24,10,53,M,5/28/2020
Arkansas,81,89,45,M,10/24/2020
Lake View,54,89,15,M,9/25/2020
Burrows,41,78,51,M,8/4/2020
Atwood,43,26,62,F,10/15/2020
Milwaukee,9,80,96,M,6/13/2021
Annamark,45,68,61,M,1/23/2021
Straubel,90,86,27,M,10/12/2020
Oak,25,93,70,M,2/16/2021
Elgar,16,51,60,F,2/25/2021
Sycamore,11,20,36,M,6/27/2021
Laurel,29,85,5,F,8/7/2020
Merry,86,21,45,F,4/13/2021
Bowman,52,17,37,M,8/24/2020
Center,15,85,48,M,3/30/2020
Surrey,56,77,12,M,5/19/2021
Tomscot,50,36,40,F,3/26/2021
Miller,27,32,90,M,9/7/2020
Namekagon,90,51,88,M,4/9/2020
Debs,37,55,25,M,3/11/2021
Anderson,43,15,57,F,2/10/2021
Graedel,99,83,70,M,12/8/2020
Eastwood,34,57,80,M,5/8/2020
Northport,94,76,94,F,1/27/2021
Corben,35,30,19,F,3/25/2021
Ruskin,93,49,83,M,6/28/2020
Kennedy,65,52,1,F,3/24/2020
Stang,5,59,14,M,11/10/2020
Fairfield,74,77,1,F,2/21/2021
Lindbergh,16,81,31,M,3/19/2021
Loeprich,57,41,27,M,10/31/2020
Melvin,10,69,31,F,5/6/2020
Claremont,93,46,90,F,2/17/2021
Pine View,39,82,77,F,12/2/2020
Pankratz,76,46,62,F,4/2/2021
Mendota,12,72,52,M,7/12/2021
Kensington,45,25,44,M,11/14/2020
Carberry,8,54,32,F,12/29/2020
Manufacturers,34,14,59,M,4/24/2021
Lien,48,29,68,F,8/28/2020
Milwaukee,86,67,13,M,6/23/2020
Merry,31,55,80,F,7/30/2020
Northport,71,31,23,M,6/11/2020
Jenifer,1,15,78,M,1/31/2021
Crest Line,44,6,27,F,3/22/2021
Holy Cross,78,97,98,M,10/19/2020
Vahlen,32,43,8,F,4/27/2020
Sommers,89,30,40,F,9/27/2020
Stuart,90,17,61,M,6/9/2020
Dorton,47,93,57,M,3/5/2021
Hanover,75,11,13,F,4/29/2021
Straubel,90,23,40,F,4/9/2021
Nevada,33,6,6,F,4/4/2021
Basil,15,54,59,F,7/12/2020
Monica,2,97,1,F,7/11/2021
Gateway,80,66,51,M,8/12/2020
Macpherson,54,43,26,M,3/3/2021
Straubel,41,27,34,F,3/23/2021
Nevada,64,14,94,M,2/12/2021
Mayer,44,77,94,F,4/10/2020
Independence,88,63,68,M,4/18/2021
Tennessee,25,5,13,M,11/17/2020
Valley Edge,81,40,19,F,11/2/2020
Mosinee,10,93,52,M,9/11/2020
Butterfield,71,11,66,M,9/4/2020
Tomscot,50,91,4,M,8/25/2020
Maryland,67,79,30,F,9/30/2020
Emmet,10,34,20,M,3/30/2020
Morning,7,27,22,M,9/1/2020
Hooker,82,76,50,M,11/12/2020
Reinke,46,12,20,M,4/8/2021
Vahlen,89,23,88,M,4/13/2021
Scoville,60,11,11,M,4/6/2021
Elka,26,58,3,F,7/11/2021
Autumn Leaf,72,79,92,M,2/24/2021
Petterle,50,90,1,M,3/24/2021
Mandrake,100,27,39,F,1/29/2021
Ridge Oak,81,71,82,F,1/26/2021
Coleman,99,11,28,M,6/2/2021
Upham,33,58,1,F,11/25/2020
Hagan,11,48,42,M,6/23/2021
Armistice,41,12,74,M,9/8/2020
Basil,60,3,48,F,5/24/2020
Green Ridge,56,8,27,M,8/8/2020
Sachs,36,49,26,F,5/27/2021
Hallows,45,98,34,M,7/17/2020
Barby,72,63,28,F,2/16/2021
Sunbrook,3,26,94,M,7/24/2020
Stephen,8,91,60,M,6/5/2020
Gerald,84,11,41,M,4/8/2021
Eastlawn,34,86,1,M,4/28/2020
Dryden,88,31,85,M,1/1/2021
Sugar,36,38,35,M,5/20/2020
Monica,6,18,37,F,10/9/2020
Little Fleur,33,63,65,M,3/24/2021
Manufacturers,49,27,41,F,6/22/2021
Forster,93,19,42,F,10/23/2020
Saint Paul,42,83,87,M,3/31/2020
Schiller,80,50,75,M,9/1/2020
Bonner,79,78,64,F,7/19/2020
Ridge Oak,49,85,39,F,5/29/2020
Calypso,73,78,28,F,6/15/2020
Old Shore,84,69,77,F,8/15/2020
Maple,72,41,19,F,4/22/2020
Pine View,63,44,24,M,5/13/2020
Del Mar,28,47,65,M,9/21/2020
Londonderry,100,100,18,F,1/19/2021
Fisk,23,64,16,M,6/9/2020
Schiller,30,90,14,F,6/23/2021
Portage,29,46,61,M,11/2/2020
Vermont,75,73,88,M,5/1/2020
Center,3,32,36,M,7/2/2020
Algoma,22,2,34,M,7/14/2021
Banding,58,96,46,F,12/28/2020
Pierstorff,60,68,56,M,11/1/2020
Northridge,69,93,34,F,4/30/2020
Arapahoe,73,12,89,M,6/2/2020
Warner,39,76,91,F,1/16/2021
Stuart,70,77,49,F,4/29/2021
Brickson Park,92,17,99,F,8/1/2020
Boyd,93,90,12,M,6/6/2020
Lighthouse Bay,50,64,15,M,12/6/2020
Darwin,58,64,53,F,10/13/2020
West,90,10,41,M,8/22/2020
Westerfield,37,22,85,M,1/8/2021
Prentice,7,2,55,F,5/23/2021
Waxwing,99,98,46,F,8/6/2020
Magdeline,38,7,22,M,7/6/2021
Bartelt,50,97,2,M,6/18/2021
Sheridan,94,85,29,M,2/27/2021
Kings,82,12,88,F,10/8/2020
Mallory,26,70,98,F,4/12/2020
Milwaukee,5,45,79,F,5/23/2021
Miller,8,10,10,M,7/2/2020
Meadow Valley,49,94,87,M,2/3/2021
Esker,46,60,26,F,9/11/2020
Huxley,63,55,96,F,10/7/2020
Lunder,46,61,75,M,2/27/2021
Hauk,85,17,42,M,1/3/2021
Sundown,50,40,93,M,12/19/2020
Melby,49,92,2,M,7/15/2021
Roth,66,51,6,F,2/10/2021
Fair Oaks,40,24,95,M,5/7/2021
Granby,35,90,94,M,9/23/2020
Dawn,50,12,94,F,5/26/2020
Saint Paul,35,76,4,M,4/13/2021
Lakewood Gardens,41,42,76,F,4/29/2021
Meadow Ridge,44,10,73,M,2/27/2021
Elgar,88,72,88,F,7/4/2020
Carioca,85,31,16,M,6/23/2020
Weeping Birch,53,86,32,M,7/24/2020
Fallview,64,36,13,F,1/3/2021
Manufacturers,39,85,72,M,9/15/2020
Redwing,13,62,35,F,12/2/2020
Fairview,89,45,75,M,2/27/2021
Logan,64,9,99,F,12/2/2020
Luster,27,8,6,F,3/14/2021
Ilene,57,16,27,M,12/8/2020
Reindahl,98,38,1,F,1/1/2021
Eliot,25,72,72,M,4/4/2021
Mayfield,9,55,32,F,4/23/2021
Knutson,54,75,27,F,12/29/2020
Lakewood,33,21,42,F,1/21/2021
Oak,90,55,31,F,8/20/2020
Laurel,52,19,98,M,5/24/2020
Oakridge,33,48,19,F,3/7/2021
Schiller,91,6,61,F,2/16/2021
Hollow Ridge,2,95,57,M,4/6/2020
Dorton,90,27,1,F,6/6/2020
Daystar,55,75,47,M,4/20/2020
Mallard,17,38,19,F,2/19/2021
Sycamore,59,10,92,M,6/14/2021
Scoville,25,54,93,F,10/13/2020
Ludington,4,31,48,M,7/30/2020
Brentwood,56,75,33,M,10/3/2020
Tomscot,79,75,68,F,4/21/2020
Paget,20,9,76,F,3/27/2020
Roxbury,71,68,61,F,2/24/2021
Sommers,4,98,75,M,6/13/2020
Jenna,45,80,54,M,6/22/2021
Esker,24,22,15,M,7/20/2021
Golf Course,14,13,2,M,5/26/2020
Roth,99,13,93,M,5/20/2020
East,1,39,100,F,7/1/2020
Kensington,33,80,53,M,12/18/2020
Hooker,49,84,29,M,1/11/2021
Gulseth,64,39,96,M,9/7/2020
Cody,62,19,37,M,3/26/2020
Merchant,97,42,16,M,3/30/2021
Barby,88,41,63,F,8/25/2020
Elka,93,10,81,M,12/8/2020
Norway Maple,37,9,83,F,5/30/2020
Manitowish,13,91,26,F,3/13/2021
Thompson,73,68,2,M,3/30/2021
Dixon,8,70,22,F,7/16/2021
Debra,67,38,55,F,11/10/2020
Bultman,99,94,84,M,10/17/2020
Esker,87,4,21,F,6/23/2021
Algoma,69,89,72,F,8/19/2020
Stephen,54,53,47,M,7/25/2020
Lake View,28,53,87,M,1/27/2021
Susan,52,16,61,F,12/28/2020
Mitchell,45,21,68,M,1/26/2021
Doe Crossing,100,51,96,M,8/7/2020
International,80,66,80,F,1/28/2021
Waywood,73,9,1,F,3/25/2021
Vermont,30,37,37,F,4/13/2021
Clyde Gallagher,62,2,18,F,6/29/2020
Declaration,10,33,79,F,10/10/2020
Blaine,8,32,77,F,8/4/2020
Texas,62,11,75,F,6/10/2021
Clyde Gallagher,1,58,15,M,12/1/2020
Brickson Park,29,1,68,F,5/2/2020
Mallory,86,36,87,F,9/28/2020
Carberry,100,33,5,F,6/8/2020
Hoard,4,71,34,F,1/26/2021
Thackeray,15,73,25,M,9/28/2020
Prentice,53,29,79,F,5/30/2020
Pond,75,9,71,M,5/29/2021
Ohio,83,59,39,M,7/24/2020
Ryan,55,24,55,F,6/21/2020
Scoville,90,94,39,F,5/13/2021
Laurel,20,11,9,F,6/13/2020
Independence,18,59,5,F,12/10/2020
Vermont,74,2,29,F,7/21/2020
Northland,44,21,9,M,3/27/2021
Messerschmidt,24,17,42,F,4/21/2020
Oxford,73,2,52,M,4/14/2021
Pennsylvania,9,9,99,M,8/15/2020
5th,97,48,5,M,6/9/2020
Sunfield,54,60,85,F,11/23/2020
Melvin,75,50,83,F,8/9/2020
Jenna,80,46,21,F,8/7/2020
Brentwood,57,45,52,F,4/8/2021
Merrick,50,99,30,F,5/4/2020
Roth,50,9,91,M,6/12/2020
Lerdahl,3,42,1,F,6/18/2021
Clyde Gallagher,11,49,75,M,3/17/2021
Heath,62,30,55,F,11/20/2020
Fieldstone,80,84,80,F,4/26/2020
Di Loreto,18,37,33,M,6/5/2020
Little Fleur,7,84,20,M,7/23/2020
Stuart,56,75,36,M,3/25/2020
Delladonna,100,3,41,M,6/15/2020
Bobwhite,45,71,9,M,4/22/2021
Iowa,13,7,19,F,12/25/2020
Farmco,42,17,97,M,3/31/2020
Coolidge,41,65,43,F,5/9/2020
Debs,2,100,99,M,2/25/2021
Butterfield,45,25,3,F,2/15/2021
